ImageId,CompanyId,ShareLevel
744507,54,4
781010,34,4
781017,34,4
793147,54,4
906910,54,4
1019814,54,4
1940513,51,4
1960637,51,4
1963583,51,4
41509,3,4
221376,31,4
221377,31,4
221378,31,4
221391,31,4
221392,31,4
221393,31,4
252227,31,4
291775,31,4
387801,31,4
387802,31,4
389454,31,4
389455,31,4
575653,34,4
575654,34,4
575655,34,4
575656,34,4
583435,34,4
845101,34,4
845106,34,4
845107,34,4
845147,34,4
845155,34,4
845232,34,4
845239,34,4
845247,34,4
845251,34,4
845302,34,4
845311,34,4
845385,34,4
845386,34,4
866783,34,4
879203,54,4
893052,54,4
1401461,51,4
2194877,51,4
2199863,51,4
2200390,51,4
2203334,38,4
2287648,38,4
2304753,51,4
2310842,51,4
2315449,376,4
2315450,376,4
2315453,376,4
2315455,376,4
2315595,376,4
2315596,376,4
2315597,376,4
2315598,376,4
2315600,376,4
2315601,376,4
2315603,376,4
2315605,376,4
2315606,376,4
2315607,376,4
2315612,376,4
2315613,376,4
2315616,376,4
2315617,376,4
2315618,376,4
2315619,376,4
2315620,376,4
2318076,51,4
2319242,51,4
2325393,51,4
2325404,51,4
2325405,51,4
2327397,51,4
2330554,51,4
2332960,51,4
2333014,51,4
2333046,51,4
2334439,51,4
2335946,51,4
2353827,51,4
2365877,51,4
2365878,51,4
2365879,51,4
2375286,51,4
2375287,51,4
2387333,51,4
2387334,51,4
2387429,51,4
2387430,51,4
2417633,51,4
2429582,51,4
2429583,51,4
2315602,376,4
2417643,51,4
2846504,51,4
2327468,51,4
2327469,51,4
2803285,51,4
2803287,51,4
2805423,51,4
2805429,51,4
2805446,51,4
2815589,51,4
2815681,51,4
2843458,51,4
2843459,51,4
2844111,51,4
2845377,51,4
2850742,51,4
2862109,51,4
2863268,51,4
2863267,51,4
