ImageId,CompanyId,ShareLevel
69513,2,1
122523,14,3
122536,14,1
129076,14,1
135188,14,3
155287,14,3
174057,14,3
175092,14,3
194173,14,3
195607,14,3
203352,14,3
211256,14,3
213907,14,3
216787,14,3
228480,14,3
241629,14,3
242255,14,3
299016,14,3
378890,14,3
386307,14,3
469546,14,3
509742,14,3
528689,14,3
528698,14,3
528699,14,3
528700,14,3
528704,14,3
546893,14,3
551645,14,3
556512,14,3
558451,14,3
558454,14,3
558455,14,3
558457,14,3
558460,14,3
558462,14,3
558464,14,3
558467,14,3
558468,14,3
558473,14,3
558474,14,3
560191,14,3
560192,14,3
560193,14,3
583396,19,3
583397,19,3
583398,19,3
649898,20,3
650371,20,3
669589,20,3
670308,20,3
871817,14,3
890371,14,3
893606,14,3
938025,51,1
938028,51,1
944823,14,3
952647,51,1
957016,14,3
960123,51,1
973654,14,3
1010935,20,3
1011254,20,3
1038892,20,3
1039268,20,3
1043999,14,3
1049222,20,3
1053132,14,1
1053343,20,3
1054324,20,3
1055334,20,3
1058514,14,1
1058882,20,3
1058896,20,3
1058970,20,3
1068958,20,3
1074648,14,1
1078854,14,1
1078867,14,1
1078869,14,1
1079007,14,1
1083314,14,1
1085545,14,1
1085556,14,1
1085756,14,1
1093658,14,1
1093660,14,1
1106087,14,1
1121155,14,1
1146220,14,1
1174142,14,1
1184079,14,1
1185296,14,1
1185571,14,1
1229140,51,1
1234372,14,1
1249732,14,1
1249740,14,1
1249741,14,1
1260969,14,1
1262485,14,1
1262486,14,1
1262503,14,1
1262510,14,1
1262520,14,1
1263649,14,1
1263653,14,1
1263655,14,1
1263670,14,1
1267316,14,1
1281631,14,1
1283984,14,1
1284286,14,1
1290873,14,1
1290882,14,1
1290895,14,1
1290898,14,1
1325851,14,1
1325854,14,1
1329793,51,3
1329794,51,3
1329795,51,3
1329800,51,3
1338505,51,3
1338582,51,3
1338583,51,3
1338588,51,3
1338589,51,3
1358478,14,3
1358555,14,1
1361547,14,1
1361548,14,1
1361549,14,1
1361550,14,1
1365140,51,3
1365276,51,1
1372710,14,1
1372720,14,1
1373435,14,1
1374773,51,3
1376417,51,3
1382790,14,1
1383788,14,1
1398489,14,1
1398495,14,1
1398501,14,1
1398514,14,1
1398515,14,1
1401363,51,3
1402435,51,3
1410970,14,3
1413751,14,1
1413757,14,1
1413760,14,1
1413764,14,1
1413780,14,1
1414889,14,1
1414912,14,1
1414961,14,1
1415006,14,1
1416880,14,1
1416890,14,1
1416910,14,1
1416911,14,1
1420744,14,1
1422512,14,1
1422516,14,1
1422527,14,1
1426720,14,1
1426724,14,1
1428988,51,3
1428994,51,3
1430092,14,1
1430104,14,1
1431251,14,1
1432975,14,1
1437411,51,3
1437412,51,3
1437478,51,3
1437479,51,3
1437536,51,3
1437537,51,3
1450541,51,3
1455920,51,3
1455954,51,3
1456056,51,3
1462518,14,1
1464259,14,1
1465456,51,3
1467231,14,3
1467274,14,1
1467275,14,1
1467277,14,1
1467278,14,1
1469203,14,3
1474452,51,3
1474786,14,3
1480220,14,3
1484690,14,3
1484695,14,3
1485565,14,3
1486130,51,3
1502211,51,3
1508429,51,1
1518597,14,1
1528469,14,1
1530050,14,1
1547405,51,3
1547407,51,3
1553678,14,1
1553692,14,1
1553694,14,1
1555592,51,3
1562460,51,3
1563779,14,1
1563781,14,1
1574923,51,3
1575083,14,1
1578722,14,1
1582344,51,3
1582345,51,1
1582346,51,1
1583806,51,3
1583810,51,3
1586296,14,1
1587243,14,1
1587270,14,1
1588273,14,1
1589062,14,1
1589143,14,1
1590430,51,3
1591591,14,1
1591602,14,1
1591603,14,1
1592902,14,1
1597100,51,3
1601091,14,1
1609453,51,3
1609490,51,3
1609751,51,3
1609819,51,3
1611413,14,1
1616655,14,1
1617059,14,1
1621517,51,3
1621709,14,1
1622021,14,1
1624994,51,3
1633659,14,1
1636532,14,1
1637430,14,1
1637457,14,1
1639190,51,1
1639814,51,1
1639949,14,1
1640436,51,1
1641644,14,1
1642333,51,1
1642725,51,1
1642737,51,1
1642818,51,1
1647869,51,3
1649766,14,1
1649779,14,1
1649784,14,1
1649943,14,1
1650702,14,1
1650714,14,1
1650751,14,1
1651363,14,1
1651366,14,1
1651389,51,1
1651492,51,1
1651883,14,1
1652895,51,1
1652913,51,1
1653061,51,1
1653610,51,1
1653611,51,1
1653625,51,1
1653648,51,1
1653672,51,1
1653719,51,1
1653785,51,1
1653884,51,1
1654231,51,1
1654232,51,1
1654379,51,1
1654899,51,1
1654908,51,3
1654909,51,3
1654917,51,1
1654940,51,1
1654963,51,1
1654977,51,1
1654984,51,1
1654992,51,1
1655045,51,1
1655046,51,1
1655059,51,1
1655082,51,1
1655178,51,1
1655727,51,1
1655728,51,1
1656411,51,1
1662320,14,1
1662321,14,1
1664816,51,1
1665324,51,1
1665426,51,1
1668592,51,1
1668847,51,1
1670901,51,1
1671849,51,1
1671872,51,1
1671918,51,1
1672902,51,1
1677608,51,1
1677668,51,1
1680011,14,1
1700323,51,1
1707577,14,1
1707578,14,1
1708533,14,1
1708540,14,1
1711249,14,1
1712564,14,1
1712782,14,1
1717929,14,1
1718499,14,1
1718529,14,1
1719045,14,1
1719066,14,1
1719107,14,1
1721993,14,1
1723163,14,1
1723556,14,1
1728640,14,1
1729696,14,1
1729716,14,1
1729719,14,1
1729762,14,1
1729769,14,1
1729770,14,1
1734442,14,1
1734478,51,1
1734663,14,1
1735764,14,1
1738215,14,1
1738229,14,1
1738261,14,1
1738279,14,1
1738295,14,1
1741541,51,1
1741741,14,1
1741743,14,1
1742061,14,1
1742077,14,1
1744631,14,1
1746207,51,1
1746276,51,1
1746321,14,1
1746536,51,1
1750743,14,1
1751487,14,1
1751808,14,1
1751820,14,1
1752030,51,2
1752130,51,1
1752342,51,1
1752584,14,1
1754554,14,1
1756483,14,1
1756503,14,1
1758881,14,1
1761014,14,1
1761016,14,1
1761017,14,1
1761019,14,1
1761048,14,1
1761172,14,1
1763452,14,1
1763490,14,1
1768771,14,1
1772082,14,1
1772090,14,1
1772728,14,1
1773677,14,1
1774343,14,1
1774344,14,1
1774371,14,1
1774413,14,1
1774414,14,1
1774417,14,1
1774470,14,1
1775957,14,1
1775961,14,1
1775977,14,1
1775978,14,1
1777546,14,1
1778905,14,1
1778911,14,1
1780015,14,1
1780042,14,1
1785829,14,1
1785830,14,1
1786541,14,1
1786558,14,1
1788798,14,1
1788799,14,1
1788890,14,1
1789043,14,1
1789269,14,1
1789281,14,1
1789831,14,1
1793708,14,1
1796414,14,1
1796784,14,1
1798505,14,1
1798506,14,1
1798556,14,1
1798608,14,1
1800290,14,1
1800939,14,1
1800942,14,1
1801214,14,1
1801215,14,1
1801216,14,1
1801943,14,1
1802005,14,1
1802226,14,1
1802241,14,1
1802546,14,1
1802900,14,1
1802902,14,1
1802933,14,1
1802944,14,1
1802977,14,1
1803967,14,1
1803982,14,1
1804000,14,1
1804023,14,1
1804457,14,1
1804467,14,1
1804476,14,1
1804519,14,1
1804522,14,1
1806184,14,1
1806185,14,1
1811457,14,1
1812479,14,1
1818351,14,1
1819114,14,1
1821871,14,1
1822827,14,1
1823521,14,1
1824828,14,1
1831079,14,1
1832627,14,1
1832628,14,1
1834290,14,1
1837064,14,1
1847587,14,1
1879539,51,1
1887996,51,1
1889845,51,3
1890987,51,3
1891068,51,3
1891069,51,3
1892190,51,1
1893941,51,3
1893957,51,3
1896631,51,1
1898224,51,1
1901824,51,3
1902136,51,1
1902149,51,1
1902715,51,1
1902734,51,1
1904565,51,1
1906762,51,3
1912811,51,3
1915881,51,3
1916739,51,3
1916741,51,3
1916787,51,3
1916793,51,3
1916794,51,3
1916829,51,3
1916923,51,3
1916932,51,3
1916933,51,3
1918086,51,3
1918714,51,3
1918717,51,3
1918721,51,3
1918722,51,3
1918726,51,3
1921315,51,3
1921317,51,3
1921475,51,3
1921476,51,3
1921477,51,3
1922332,51,3
1922333,51,3
1922334,51,3
1922335,51,3
1931457,51,1
1932016,51,1
1932017,51,1
1936200,51,1
1938677,51,3
1938684,51,1
1943156,51,1
1943174,51,1
1943978,51,1
1945434,51,1
1945601,51,1
1945623,51,1
1945635,51,1
1945639,51,1
1945640,51,1
1945641,51,1
1945642,51,1
1945643,51,1
1945644,51,1
1945645,51,1
1945647,51,1
1945651,51,1
1945676,51,1
1945819,51,1
1945843,51,1
1945853,51,1
1945947,51,1
1948018,51,1
1948781,51,1
1951957,51,1
1952975,51,1
1955131,51,1
1955342,51,1
1955351,51,1
1955467,51,1
1955468,51,1
1955473,51,1
1955476,51,1
1955479,51,1
1955481,51,1
1955482,51,1
1955637,51,1
1955641,51,1
1955643,51,1
1955645,51,1
1955650,51,1
1955675,51,1
1955722,51,1
1956271,51,1
1956428,51,1
1956917,51,1
1956918,51,1
1956934,51,1
1959172,51,3
1960283,51,1
1962332,51,1
1965604,51,1
1970631,51,1
1978238,51,1
1978241,51,1
1983500,14,1
1989710,51,1
1998111,14,1
1998393,14,1
122331,14,3
168087,14,3
168402,14,3
168495,3,3
175091,14,3
188314,3,3
190398,14,3
211158,14,3
212811,3,3
213931,51,1
215352,14,1
215964,14,1
389192,14,3
391427,14,1
400795,3,3
467900,14,3
477545,51,3
482053,39,3
500801,14,3
521960,14,3
558456,14,3
558461,14,3
558471,14,3
558478,14,3
560189,14,3
578680,405,2
619888,39,2
628715,51,1
646431,20,3
653941,51,1
739898,51,1
741623,39,3
800066,39,3
815986,51,1
815987,51,1
821350,51,1
823566,39,3
825301,51,1
830792,51,1
831015,51,1
831673,14,1
844298,14,1
883243,51,1
888262,14,3
892848,51,1
893263,51,1
938077,51,1
1015046,51,1
1078846,14,1
1084063,14,1
1084069,14,1
1084071,14,1
1085546,14,1
1093667,14,1
1097430,14,1
1108623,51,1
1197918,28,1
1197919,28,1
1198976,28,1
1198977,28,1
1199025,28,1
1201949,28,1
1203531,28,1
1263629,14,1
